id,product_A_sold_in_the_past,product_B_sold_in_the_past,product_A_recommended,product_A,product_C,product_D,cust_hitrate,cust_interactions,cust_contracts,opp_month,opp_old,competitor_Z,competitor_X,competitor_Y,cust_in_iberia,target_variable
16,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-1.1667,-0.57302,-0.34997,0.65323,-0.28185,1,0,0,0,1
17,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-1.04129,-0.6817,-0.34997,1.24404,-0.28185,0,0,0,1,0
18,-0.25992,-0.32141,-0.1097,-0.0891,-0.02372,-0.04247,1.631,-0.6817,-0.34997,-0.82382,-0.28185,0,0,0,1,1
19,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-1.11173,0.99202,-0.03202,-1.11923,-0.28185,0,0,0,1,0
20,-0.25992,-0.30331,-0.1097,-0.0891,-0.02372,-0.04247,1.73092,-0.6817,-0.34997,0.94864,-0.28185,1,0,0,1,1
21,0.18371,-0.11793,-0.1097,-0.0891,-0.02372,-0.04247,-0.75255,-0.6817,-0.34997,0.94864,-0.28185,1,0,0,1,0
22,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,1.73092,-0.58389,-0.34997,-0.233,-0.28185,0,0,1,0,1
23,4.05959,-0.34794,0.51314,2.23537,-0.02372,-0.04247,0.55338,0.6225,-0.34997,-1.11923,3.54793,0,0,1,1,0
24,-0.0586,-0.24182,-0.1097,-0.0891,-0.02372,-0.04247,-0.77412,-0.6817,-0.34997,-0.233,-0.28185,0,0,0,0,0
25,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-0.74223,-0.05134,-0.34997,0.94864,-0.28185,0,0,0,1,1
26,-0.25992,-0.19213,-0.1097,-0.0891,-0.02372,-0.04247,0.73773,5.15457,-0.34997,-0.82382,-0.28185,0,0,0,1,0
27,-0.25992,-0.31362,-0.1097,-0.0891,-0.02372,-0.04247,0.35389,1.18765,-0.34997,0.06241,3.54793,1,0,0,0,0
28,-0.25992,-0.19767,-0.1097,-0.0891,-0.02372,-0.04247,0.75433,1.67672,-0.34997,-1.11923,-0.28185,0,0,1,0,1
29,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-1.12789,0.74205,-0.34997,0.94864,-0.28185,0,0,0,1,1
30,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,0.10426,0.72031,-0.03202,-1.11923,-0.28185,0,0,0,0,0
31,-0.25992,-0.34557,-0.1097,-0.0891,-0.02372,-0.04247,1.56184,-0.6817,0.60388,-1.11923,-0.28185,0,0,0,1,1
32,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,0.0077,1.31807,-0.34997,0.35782,-0.28185,0,0,0,0,1
33,-0.25992,-0.34794,4.04258,-0.0891,-0.02372,-0.04247,-0.12253,1.89409,-0.34997,-0.52841,3.54793,0,0,0,1,0
34,-0.19248,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-0.0306,-0.36652,-0.34997,-0.82382,-0.28185,1,0,0,0,0
35,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,0.52547,-0.6817,0.28593,-0.233,-0.28185,1,0,1,1,0
36,-0.19281,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-0.32417,0.94854,-0.34997,0.06241,-0.28185,1,0,0,1,0
37,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,0.73797,0.11169,-0.34997,0.65323,-0.28185,0,0,0,0,0
38,-0.25992,-0.33409,-0.1097,-0.0891,-0.02372,-0.04247,-1.15993,-0.6817,-0.34997,-0.82382,-0.28185,0,0,0,1,1
39,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-1.1667,-0.57302,3.14749,-0.52841,-0.28185,0,0,0,1,0
40,-0.18862,0.37913,-0.1097,-0.0891,-0.02372,-0.04247,-0.63133,1.42675,-0.34997,-1.41464,3.54793,0,0,1,1,0
41,-0.25992,-0.28507,-0.1097,-0.0891,-0.02372,-0.04247,-0.86242,-0.35565,-0.34997,0.94864,3.54793,1,0,0,1,0
42,7.95386,3.25755,-0.1097,-0.0891,-0.02372,-0.04247,-1.02322,0.63336,-0.34997,1.83486,-0.28185,1,0,0,0,0
43,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,0.51094,-0.34478,-0.34997,-0.82382,-0.28185,1,0,0,0,0
44,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,0.71053,-0.31218,1.23979,1.83486,-0.28185,0,0,0,0,1
45,0.108,-0.16405,2.38167,-0.0891,-0.02372,-0.04247,-0.45649,-0.4426,-0.34997,-1.11923,-0.28185,0,0,0,0,0
46,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,1.72599,-0.6817,0.28593,1.24404,-0.28185,0,0,0,1,1
47,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-1.1667,-0.6817,-0.34997,-1.11923,-0.28185,0,0,0,1,0
48,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-0.01668,-0.6817,-0.03202,-0.52841,-0.28185,0,0,0,1,1
49,-0.25992,-0.00407,-0.1097,-0.0891,-0.02372,-0.04247,0.73797,-0.08394,-0.34997,-0.233,-0.28185,0,0,1,0,1
50,-0.13605,-0.3432,-0.1097,-0.0891,-0.02372,-0.04247,0.35179,-0.62736,-0.34997,1.24404,-0.28185,0,0,0,0,0
51,-0.25992,-0.34794,-0.10968,-0.0891,-0.02372,-0.04247,-1.03325,-0.04047,-0.34997,-0.52841,-0.28185,1,0,1,0,0
52,-0.25992,-0.34146,-0.1097,-0.0891,-0.02372,-0.04247,0.58461,-0.27957,-0.34997,0.94864,-0.28185,0,0,1,1,0
53,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-1.1667,-0.6817,-0.03202,1.24404,-0.28185,1,0,1,1,1
54,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-0.98877,0.12255,-0.34997,-0.82382,-0.28185,0,0,0,1,0
55,-0.25992,-0.22427,-0.1097,-0.0891,-0.02372,-0.04247,1.73092,-0.60562,-0.34997,1.83486,-0.28185,0,0,0,1,1
56,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-1.12114,-0.39912,-0.34997,0.94864,-0.28185,0,0,1,1,0
57,-0.25992,-0.32141,-0.1097,-0.0891,-0.02372,-0.04247,1.59713,-0.6817,-0.34997,0.65323,-0.28185,0,0,0,1,1
58,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,1.63174,-0.6817,0.28593,1.24404,-0.28185,0,0,0,1,1
59,-0.25992,-0.23878,-0.1097,-0.0891,-0.02372,-0.04247,-0.02574,0.23124,-0.34997,1.83486,-0.28185,1,0,1,1,0
60,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-1.1667,-0.6817,-0.34997,1.24404,-0.28185,0,0,0,1,0
61,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-1.1667,-0.59475,-0.34997,-0.233,-0.28185,1,0,0,1,0
62,-0.25992,0.55542,-0.1097,-0.0891,-0.02372,-0.04247,-1.06154,-0.6817,-0.34997,0.06241,-0.28185,0,0,0,1,0
63,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-0.30367,-0.6817,-0.34997,-0.233,-0.28185,1,0,1,1,1
64,-0.25992,-0.0834,-0.1097,-0.0891,-0.02372,-0.04247,0.10575,0.31818,-0.34997,1.83486,-0.28185,0,0,1,1,1
65,7.95386,3.25755,-0.1097,-0.0891,-0.02372,-0.04247,1.40601,-0.6817,0.92184,1.83486,-0.28185,0,0,1,1,1
66,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-1.1667,-0.6817,-0.34997,-0.52841,-0.28185,0,0,0,1,1
67,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-0.6587,0.37252,-0.34997,-0.52841,-0.28185,0,0,0,1,0
68,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-0.33247,0.51381,0.60388,1.24404,-0.28185,0,0,1,0,0
69,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-0.66932,0.50294,-0.34997,0.35782,-0.28185,0,0,0,1,0
70,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-0.55506,0.04648,-0.34997,0.35782,-0.28185,1,0,0,0,1
71,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-1.1667,-0.6817,-0.34997,1.24404,-0.28185,0,0,0,0,1
72,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-0.90089,-0.31218,-0.34997,-0.82382,-0.28185,0,0,0,1,0
73,0.37589,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-1.1667,-0.52954,-0.34997,-0.233,-0.28185,1,0,0,0,0
74,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-0.63635,-0.48607,-0.34997,-0.233,-0.28185,0,0,1,0,1
75,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-1.1667,-0.6817,0.60388,-0.233,-0.28185,0,0,0,1,1
76,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-0.63904,-0.6817,0.60388,1.24404,-0.28185,0,0,0,1,0
77,0.17357,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-1.1667,-0.48607,-0.34997,0.94864,-0.28185,1,0,0,1,1
78,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-1.04307,-0.50781,-0.34997,0.94864,-0.28185,0,0,0,0,0
79,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-1.1667,-0.6817,-0.34997,1.24404,-0.28185,0,0,1,1,0
80,-0.18862,0.37913,-0.1097,-0.0891,-0.02372,-0.04247,0.504,1.12244,0.92184,0.06241,-0.28185,0,0,0,1,0
81,-0.25992,0.56003,-0.1097,-0.0891,-0.02372,-0.04247,0.09119,0.01387,-0.03202,0.94864,-0.28185,0,0,0,0,1
82,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,0.00881,-0.22523,-0.34997,-0.52841,-0.28185,0,0,0,0,1
83,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,0.73471,-0.55128,-0.34997,-0.233,3.54793,1,0,1,0,0
84,0.34402,2.12201,-0.1097,-0.0891,-0.02372,-0.04247,1.6671,-0.6817,1.23979,-0.82382,-0.28185,1,0,0,1,1
85,-0.16933,0.03928,-0.1097,-0.0891,-0.02372,-0.04247,-1.15649,-0.22523,-0.34997,-0.82382,-0.28185,1,0,0,0,0
86,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,0.96435,1.58977,-0.34997,-1.11923,-0.28185,0,0,0,1,0
87,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,0.0077,1.31807,-0.34997,0.35782,-0.28185,0,0,0,0,1
88,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,0.62701,-0.49694,1.55774,-0.233,-0.28185,0,0,0,1,1
89,-0.25992,0.0687,-0.1097,-0.0891,-0.02372,-0.04247,-0.16284,-0.6817,1.55774,-0.52841,-0.28185,0,0,0,1,1
90,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,1.0574,-0.6817,-0.34997,0.06241,-0.28185,1,0,0,1,1
91,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-0.91051,-0.4426,-0.34997,0.06241,-0.28185,0,0,0,1,0
92,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-1.1667,-0.6817,-0.34997,-0.233,-0.28185,0,0,0,0,1
93,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,0.0077,1.31807,-0.34997,0.35782,-0.28185,0,0,0,0,1
94,1.08216,2.54732,-0.1097,-0.0891,-0.02372,-0.04247,-0.81898,-0.37739,-0.34997,1.24404,-0.28185,0,0,1,0,1
95,-0.21072,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,0.50628,1.35067,-0.34997,-1.41464,-0.28185,0,0,0,0,1
96,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-1.1667,-0.6817,-0.34997,0.06241,-0.28185,0,0,0,0,1
97,1.08216,2.54732,-0.1097,-0.0891,-0.02372,-0.04247,0.25387,0.08995,-0.34997,0.06241,-0.28185,0,0,0,1,1
98,-0.25992,1.24532,-0.1097,-0.0891,-0.02372,-0.04247,0.869,-0.14915,4.73725,-1.41464,-0.28185,0,0,0,1,0
99,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,0.12643,0.42687,-0.34997,-0.233,-0.28185,0,0,0,1,1
100,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-0.0848,-0.12742,-0.34997,0.06241,-0.28185,0,0,0,1,1
101,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-1.16541,-0.6817,0.60388,0.35782,-0.28185,0,0,1,1,0
102,-0.22676,-0.19114,-0.1097,-0.0891,-0.02372,-0.04247,1.31514,-0.31218,-0.34997,-0.233,-0.28185,0,0,0,1,1
103,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,0.28197,-0.6817,4.73725,0.06241,-0.28185,0,0,0,1,1
104,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-0.59917,0.12255,-0.34997,0.94864,3.54793,1,0,0,0,0
105,-0.06818,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-1.1667,-0.6817,-0.34997,0.94864,-0.28185,0,0,0,1,0
106,-0.25992,0.36832,3.35053,-0.0891,-0.02372,-0.04247,0.37336,0.28558,-0.34997,-0.82382,-0.28185,0,0,0,1,1
107,-0.25992,-0.33409,-0.1097,-0.0891,-0.02372,-0.04247,-0.61384,2.83963,-0.34997,-0.233,-0.28185,1,0,1,0,0
108,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,0.23333,-0.38826,0.28593,0.94864,-0.28185,0,0,0,1,0
109,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-1.1667,-0.0296,-0.34997,0.06241,-0.28185,0,0,1,0,0
110,0.41705,2.00541,-0.1097,-0.0891,-0.02372,-0.04247,-0.14957,-0.49694,-0.34997,1.83486,-0.28185,0,0,1,1,0
111,-0.25992,-0.13368,-0.1097,-0.0891,-0.02372,-0.04247,1.41479,-0.6817,2.51159,0.06241,3.54793,1,0,0,1,1
112,0.34066,-0.18305,-0.1097,-0.0891,-0.02372,-0.04247,-0.34026,1.01375,-0.34997,-0.82382,3.54793,0,0,0,0,0
113,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-1.09171,-0.50781,-0.34997,-1.11923,-0.28185,0,0,1,0,0
114,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-0.26312,-0.6817,0.60388,-1.11923,-0.28185,0,0,0,1,1
115,0.65945,3.35306,-0.1097,-0.0891,-0.02372,-0.04247,0.74371,-0.2361,-0.34997,0.35782,-0.28185,0,0,0,1,1
116,-0.25992,-0.34544,-0.1097,-0.0891,-0.02372,-0.04247,-1.02453,-0.56215,-0.34997,0.06241,-0.28185,1,0,1,1,1
117,-0.25992,-0.30023,2.58928,-0.0891,-0.02372,-0.04247,-1.04185,0.87247,-0.34997,-0.52841,-0.28185,0,0,0,0,0
118,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-1.1667,-0.6817,-0.34997,-1.41464,-0.28185,0,0,0,1,0
119,-0.25992,-0.33267,-0.1097,-0.0891,-0.02372,-0.04247,1.16865,-0.56215,-0.34997,-1.41464,-0.28185,1,0,0,1,0
120,0.34402,3.51662,-0.1097,-0.0891,-0.02372,-0.04247,-0.63133,0.73118,-0.34997,-0.233,-0.28185,0,0,1,0,0
121,-0.25992,-0.34794,0.40933,-0.0891,-0.02372,-0.04247,-1.1667,-0.6817,-0.34997,-1.41464,3.54793,0,0,0,0,0
122,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,1.73078,-0.6817,0.92184,0.94864,-0.28185,0,0,0,1,0
123,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,0.64506,-0.25784,-0.34997,1.83486,-0.28185,0,0,0,1,1
124,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,1.33311,-0.12742,-0.34997,-0.82382,-0.28185,1,0,0,0,0
125,-0.25992,-0.31795,-0.1097,-0.0891,-0.02372,-0.04247,1.12382,-0.6817,1.23979,-0.82382,-0.28185,0,0,0,1,0
126,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-1.1667,-0.6817,0.28593,0.94864,-0.28185,1,0,1,0,0
127,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-1.1667,-0.60562,-0.34997,1.83486,-0.28185,0,0,0,0,1
128,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,0.4231,-0.38826,-0.34997,-0.52841,-0.28185,0,0,0,0,1
129,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-0.60152,-0.6817,-0.34997,0.65323,-0.28185,0,0,1,0,0
130,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,1.73092,-0.6817,0.92184,-0.52841,-0.28185,0,0,0,1,0
131,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-0.65374,0.58989,-0.34997,0.94864,-0.28185,1,0,0,1,0
132,-0.25992,-0.21724,-0.1097,-0.0891,-0.02372,-0.04247,1.73092,-0.6817,-0.34997,0.94864,-0.28185,0,0,0,1,0
133,-0.25992,-0.28822,-0.1097,-0.0891,-0.02372,-0.04247,0.40704,-0.18176,-0.34997,-0.52841,-0.28185,0,0,0,0,0
134,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,1.73092,-0.6817,-0.03202,1.24404,-0.28185,0,0,0,1,1
135,-0.25992,1.13969,-0.1097,-0.0891,-0.02372,-0.04247,-0.51821,2.90484,-0.34997,-1.11923,-0.28185,1,0,1,1,0
136,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,0.9173,-0.6817,-0.34997,-1.11923,-0.28185,0,0,0,1,0
137,-0.25992,-0.23614,-0.1097,-0.0891,-0.02372,-0.04247,-1.07436,-0.51868,-0.34997,-1.11923,-0.28185,1,0,0,0,0
138,-0.0586,-0.24182,-0.1097,-0.0891,-0.02372,-0.04247,-0.77412,-0.6817,-0.34997,-0.233,-0.28185,0,0,0,0,0
139,-0.19281,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,0.36736,0.14429,-0.34997,-1.41464,-0.28185,1,0,0,1,0
140,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,0.083,0.83986,-0.34997,-0.82382,-0.28185,0,0,0,0,1
141,-0.19482,-0.31669,-0.1097,-0.0891,-0.02372,-0.04247,-1.02322,0.35079,-0.34997,0.35782,-0.28185,1,0,0,0,0
142,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,1.73092,-0.11655,0.28593,-0.82382,-0.28185,0,0,0,1,0
143,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-0.09734,-0.24697,4.4193,-1.41464,-0.28185,0,0,0,0,1
144,-0.25992,-0.33405,-0.1097,-0.0891,-0.02372,-0.04247,-0.9639,0.54642,-0.34997,0.06241,-0.28185,0,0,1,0,0
145,0.26819,-0.02965,-0.1097,-0.0891,-0.02372,-0.04247,-1.1667,-0.6817,-0.34997,1.24404,-0.28185,0,0,0,0,1
146,-0.15926,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-1.1667,-0.6817,-0.34997,-0.52841,-0.28185,0,0,0,1,0
147,-0.25992,1.95086,-0.1097,-0.0891,-0.02372,-0.04247,-0.11627,0.23124,-0.34997,-1.41464,-0.28185,0,0,0,1,0
148,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,0.66781,0.16603,-0.34997,1.53945,-0.28185,1,0,0,0,1
149,-0.25992,-0.11067,-0.1097,-0.0891,-0.02372,-0.04247,0.22741,7.34997,-0.34997,1.24404,3.54793,0,0,0,1,0
150,-0.25992,0.0687,-0.1097,-0.0891,-0.02372,-0.04247,-0.16284,-0.6817,1.55774,-0.52841,-0.28185,0,0,0,1,1
151,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,1.38407,0.47034,-0.34997,-1.41464,-0.28185,1,0,0,0,0
152,-0.25992,-0.31063,-0.1097,-0.0891,-0.02372,-0.04247,-1.1667,-0.52954,-0.34997,-1.41464,-0.28185,1,0,0,1,1
153,-0.25992,-0.34307,-0.1097,-0.0891,-0.02372,-0.04247,-1.1667,-0.25784,-0.34997,0.35782,-0.28185,1,0,0,0,0
154,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,0.2946,-0.35565,-0.34997,-0.52841,-0.28185,0,0,0,1,0
155,-0.25992,-0.13138,-0.1097,-0.0891,-0.02372,-0.04247,-0.17362,3.23089,-0.34997,1.83486,3.54793,0,0,0,0,0
156,-0.25992,-0.25836,-0.1097,-0.0891,-0.02372,-0.04247,-0.21231,0.66597,-0.34997,-1.41464,-0.28185,1,0,0,1,0
157,-0.25992,-0.34334,-0.1097,-0.0891,-0.02372,-0.04247,-1.05587,-0.19263,-0.34997,0.94864,-0.28185,1,0,0,0,0
158,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-1.1667,-0.43173,-0.34997,-0.82382,-0.28185,0,0,1,0,0
159,-0.25992,-0.33409,-0.1097,-0.0891,-0.02372,-0.04247,1.47814,-0.6817,-0.34997,0.06241,-0.28185,1,0,1,1,1
160,-0.25992,-0.2816,-0.1097,-0.0891,-0.02372,-0.04247,0.06963,-0.6817,-0.03202,1.83486,-0.28185,1,0,0,1,0
161,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-1.10932,-0.19263,-0.34997,-1.41464,-0.28185,0,0,0,1,1
162,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-1.1667,-0.6817,-0.34997,-1.41464,3.54793,1,0,0,1,0
163,-0.25992,-0.24803,-0.1097,-0.0891,-0.02372,-0.04247,0.84626,0.51381,-0.34997,-0.52841,-0.28185,1,0,0,0,1
164,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-1.1667,-0.6817,-0.34997,-0.52841,-0.28185,0,0,0,1,0
165,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-1.1667,-0.6817,-0.34997,0.06241,-0.28185,1,0,0,1,1
166,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-0.58836,-0.52954,-0.34997,-1.11923,-0.28185,1,0,0,0,0
167,-0.12571,0.13004,-0.1097,-0.0891,-0.02372,-0.04247,-0.0278,-0.6817,-0.03202,1.53945,-0.28185,0,0,0,1,0
168,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,1.73092,-0.42086,-0.34997,0.06241,-0.28185,0,0,0,0,1
169,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-0.21299,-0.6817,1.55774,-1.11923,-0.28185,0,0,0,1,1
170,-0.25992,-0.09449,-0.1097,-0.0891,-0.02372,-0.04247,0.80991,0.52468,0.92184,0.06241,-0.28185,0,0,0,0,0
171,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-1.1667,-0.6817,-0.34997,-1.41464,-0.28185,0,0,0,1,0
172,-0.25992,1.21214,-0.1097,-0.0891,-0.02372,-0.04247,1.63661,-0.35565,-0.34997,-0.82382,-0.28185,0,0,0,0,0
173,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-0.7615,0.05734,-0.34997,1.83486,-0.28185,0,0,0,1,1
174,-0.25992,3.3423,-0.1097,-0.0891,-0.02372,-0.04247,0.13101,2.38316,-0.34997,0.35782,-0.28185,0,0,0,0,1
175,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,0.89475,-0.6817,-0.34997,-1.41464,-0.28185,0,0,0,0,1
176,-0.25992,-0.34794,1.96644,-0.0891,-0.02372,-0.04247,-1.1667,-0.6817,-0.34997,1.24404,-0.28185,1,0,1,1,0
177,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-0.21892,4.44813,-0.03202,-1.41464,-0.28185,0,0,0,1,1
178,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,0.15379,-0.6817,-0.34997,-0.82382,-0.28185,0,0,1,1,1
179,-0.25992,-0.34544,-0.1097,-0.0891,-0.02372,-0.04247,-1.1667,-0.6817,-0.34997,0.06241,-0.28185,0,0,0,0,0
180,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,0.33923,1.79627,-0.34997,1.53945,-0.28185,1,0,0,0,1
181,-0.25992,-0.23693,-0.1097,-0.0891,-0.02372,-0.04247,1.73092,-0.58389,-0.34997,-0.233,-0.28185,0,0,1,0,1
